# El	 r	 dHdphiext_over_Delta_sqr	 d2f01dphi2_GHz	 dHdr_over_Delta_sqr	 df01dr_GHz 
11898416.954165636	0.67	2.7052194071419397e-05	225.09721492665562	4.555191414145865e-05	0.9327614049507296
11898416.954165636	0.6900000000000001	2.7311223123726733e-05	198.88579662305543	3.972779356107844e-05	0.8539450392658259
11898416.954165636	0.7100000000000001	2.7547744075434167e-05	174.62040896140462	3.434621570388844e-05	0.7792845272246063
11898416.954165636	0.73	2.7762922552748594e-05	152.1645052425922	2.9393200240945906e-05	0.7083944875663101
11898416.954165636	0.75	2.7957844142418838e-05	131.43617784541388	2.4869418371341242e-05	0.641079739092843
11898416.954165636	0.77	2.8133540644705816e-05	112.26643944036951	2.0778580735487138e-05	0.5771481915372828
11898416.954165636	0.79	2.829095870492531e-05	94.53168801015953	1.7091063757813187e-05	0.5161833408466231
11898416.954165636	0.81	2.8430966950457354e-05	78.31336226651571	1.3789345264048227e-05	0.4579053712580157
11898416.954165636	0.8300000000000001	2.855438046159878e-05	63.59722853266035	1.0888227595692823e-05	0.4023063543529788
11898416.954165636	0.85	2.8661941250261115e-05	50.19502167703143	8.368538686401438e-06	0.3490796615002089
11898416.954165636	0.87	2.875432271458367e-05	38.19661800415216	6.191663290660216e-06	0.2977180993505508
11898416.954165636	0.89	2.8832149557744587e-05	27.837733748942544	4.363488836937838e-06	0.24819118298086396
11898416.954165636	0.91	2.8895964674608536e-05	18.998456801231207	2.8853173714192035e-06	0.20048950098040202
11898416.954165636	0.93	2.8946235795447445e-05	11.607546657372685	1.7220636796488483e-06	0.15405353907275426
11898416.954165636	0.9500000000000001	2.8983405804247888e-05	5.993332671092839	8.618801855809891e-07	0.10865523763548249
11898416.954165636	0.97	2.9007864248009585e-05	2.255054776029906	3.058199663266346e-07	0.06445698448590632
11898416.954165636	0.99	2.9019935154530697e-05	0.2675785950459651	3.382512302499399e-08	0.02145651524950289
14157232.601517623	0.01	5.649016140063379e-09	2845.056518828576	9.420513226852862e-05	0.2685773331561581
14157232.601517623	0.03	4.100570504458766e-08	3604.2194508796633	5.8828250836371774e-05	0.6018217970360094
