phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
2.228456913827655,0.09398398856432867,0.0015072795655791194,0.07694824295762669,0.00035262938685692765
2.260521042084169,0.09176822686589352,0.0013877643179697927,0.07539506640666914,0.000381789654403972
2.29258517034068,0.08934345795463991,0.0012720499936682357,0.07366360930066036,0.00041813815508081096
2.324649298597194,0.08672957742312229,0.001159961427159293,0.07176895550937759,0.00046241765618596766
2.356713426853708,0.08394756697071,0.0010514375600116292,0.06972722840594002,0.0005154932874261916
2.3887775551102193,0.08101922135585364,0.0009465209394017291,0.06755536649760237,0.0005783476888308604
2.420841683366733,0.07796687167873692,0.0008453464570234014,0.06527089356319353,0.0006520757365390582
2.452905811623245,0.0748131097389851,0.0007481293351164858,0.06289168754496888,0.0007378785286639278
2.484969939879759,0.07158051805915899,0.000655152415169998,0.060435752343072115,0.0008370563114032073
2.5170340681362724,0.0682914099166859,0.0005667528517293093,0.05792099646897087,0.0009510000321041631
2.549098196392784,0.06496758339289754,0.00048330835653817957,0.055365022237477725,0.0010811812216335126
2.581162324649298,0.06163009303832245,0.00040522317515270405,0.052784928824861334,0.0012291399335987
2.6132264529058116,0.05829904228022876,0.00033291400770974427,0.05019713210436822,0.0013964705030365828
2.6452905811623233,0.05499339917483461,0.0002667961066383762,0.04761720370294196,0.001584804932257976
2.6773547094188372,0.0517308375467566,0.00020726979609938357,0.04505973121777559,0.0017957937664918196
2.709418837675351,0.048527604976663065,0.0001547076605586484,0.042538201002845076,0.002031084386391855
2.7414829659318625,0.04539841850942059,0.00010944264327246267,0.040064904398153335,0.002292296717596591
2.7735470941883764,0.04235638837354374,7.175728007367261e-05,0.03765086774221206,0.0025809964382387043
2.8056112224448904,0.03941296944204624,4.1874270506045887e-05,0.03530580599467976,0.002898665852079521
2.8376753507014016,0.03657793963733141,1.99485581383511e-05,0.03303809931342037,0.003246672685913369
2.8697394789579156,0.03385940399968324,6.061056089621525e-06,0.030854791489466866,0.0036262371628073948
2.9018036072144273,0.031263822709692676,2.1411385379577208e-07,0.02876160875375095,0.0040383977950754
2.9338677354709413,0.028796060987225917,2.3287789510854297e-06,0.02676299713836663,0.004483976429835709
2.9659318637274548,0.02645945848901789,1.2243863305926132e-05,0.02486217630797833,0.004963543162611074
2.9979959919839665,0.02425591559728144,2.9716781070594817e-05,0.023061207577045616,0.005477381807668086
3.0300601202404804,0.02218599383447071,5.442608330351409e-05,0.02136107369703202,0.006025456674643928
3.062124248496994,0.02024902755413905,8.597557675767065e-05,0.019761767933919414,0.006607381446624183
3.0941883767535057,0.018443244042382206,0.00012389988014752703,0.01826238995743102,0.007222390982591786
3.1262525050100196,0.016765889214671148,0.0001676712425450651,0.01686124612502061,0.007869316874839685
3.1583166332665336,0.01521335620340862,0.00021670742568531584,0.015555951859991918,0.008546567577752653
3.190380761523045,0.013781314295469551,0.00027038043537953984,0.014343533986999349,0.009252113887136695
3.222444889779559,0.01246483588849524,0.00032802587714469484,0.01322053109160606,0.00998348048845251
3.2545090180360727,0.01125851938121735,0.00038895270753622305,0.012183090204892099,0.010737744208066292
3.286573146292584,0.01015660618759912,0.000452453155281464,0.011227058370341691,0.011511539494874979
3.318637274549098,0.009153090357943679,0.0005178125947244189,0.010348067919427571,0.012301071532059216
3.3507014028056097,0.00824181959329169,0.0005843191677214938,0.009541614555728916,0.013102137232676307
3.3827655310621236,0.007416586743768086,0.0006512729682537135,0.008803127616896632,0.013910154211425612
3.414829659318637,0.006671211179011535,0.0007179946258263946,0.008128032141902587,0.0147201976519321
3.446893787575149,0.00599960970220006,0.000783833148339989,0.007511802611298714,0.01552704480856618
3.478957915831663,0.005395856942218547,0.0008481729116309479,0.0069500084452761846,0.016325226698809998
3.5110220440881763,0.004854235396039652,0.0009104397104057412,0.006438351533971985,0.01710908636146007
3.543086172344688,0.004369275501405922,0.0009701058129646875,0.005972696233734282,0.01787284288259162
3.575150300601202,0.0039357862956130975,0.0010266939891380399,0.005549092390228807,0.01861066023025271
3.607214428857716,0.0035488773580013176,0.0010797805065235015,0.005163792043814514,0.019316719795167844
3.639278557114227,0.0032039728411996193,0.0011289971138089927,0.004813260535146628,0.019985295412793463
3.671342685370741,0.00289681846986812,0.0011740320511888403,0.004494182761105493,0.02061082954590095
3.703406813627255,0.0026234824272037332,0.0012146301462552195,0.004203465335381712,0.021188009239784124
3.7354709418837664,0.0023803510612372364,0.0012505920690110384,0.003938235387590394,0.021711840426807502
3.7675350701402803,0.002164120328034481,0.0012817728316615324,0.003695836693379492,0.022177719155046512
3.799599198396792,0.0019717838509208403,0.0013080796275772683,0.00347382376973543,0.022581498347980056
3.8316633266533056,0.0018006184177444737,0.001329469109342625,0.0032699544988674827,0.02291954876846469
3.8637274549098195,0.0016481676661185916,0.001345944208283419,0.0030821817649405647,0.023188812959319127
3.8957915831663312,0.0015122246237059172,0.0013575505975365516,0.0029086445046485145,0.023386851062685763
3.927855711422845,0.001390813681017386,0.0013643728978716605,0.0027476584890447162,0.023511877577953522
3.9599198396793587,0.0012821724816706056,0.0013665307204575876,0.00259770707352706,0.023562788299463202
3.9919839679358704,0.001184734123096305,0.0013641746339319305,0.0024574320783813425,0.023539176876055636
4.024048096192384,0.001097109972295487,0.0013574821348653991,0.0023256248961264115,0.023441340649616636
4.056112224448898,0.0010180733189623936,0.0013466536914154045,0.0022012178657713033,0.023270275653494217
4.08817635270541,0.000946544014095872,0.0013319089199590722,0.0020832759091580205,0.02302766087842187
4.1202404809619235,0.0008815741775340606,0.0013134829441711095,0.001970988391237823,0.02271583213735702
4.1523046092184375,0.0008223350035528517,0.0012916229756655157,0.001863661144381275,0.022337746075714256
4.184368737474949,0.0007681046501097573,0.0012665851452266514,0.0017607085860219724,0.021896935074384
4.216432865731463,0.000718257164412614,0.0012386316040484476,0.001661645858130237,0.021397453974684042
4.248496993987974,0.0006722523746447882,0.001208027905514006,0.0015660809246843361,0.02084381971228756
4.280561122244488,0.0006296266640694726,0.0011750406699853602,0.001473706577956932,0.0202409450777229
4.312625250501002,0.0005899845381873595,0.0011399355279725775,0.001384292324191423,0.01959406792119825
4.344689378757513,0.0005529908967765834,0.0011029753310166871,0.0012976761422046547,0.01890867718700364
4.376753507014027,0.0005183639291087209,0.0010644186146230598,0.0012137561328837447,0.018190437196873716
4.408817635270541,0.00048586856087251887,0.0010245182937075208,0.0011324821015824132,0.017445111601824527
4.440881763527052,0.00045531039396499594,0.000983520568166283,0.0010538471376376269,0.016678488389282764
